"source","count"
"Salary",218
"Freelance Work",212
"Business Income",215
"Investment Returns",226
"Rental Income",238
"Dividends",201
"Interest Income",225
"Bonus",224
"Commission",236
"Consulting Fees",222
"Contract Work",213
"Stock Sales",224
"Royalties",201
"Online Sales",200
"Side Business",195
"Part-time Job",197
"Overtime Pay",219
"Tax Refund",220
"Gift Money",198
"Inheritance",197
"Lottery Winnings",216
"Cashback Rewards",208
"Survey Income",214
"Teaching",233
"Tutoring",215
"Photography",223
"Writing",195
"Programming",201
"Design Work",224
"Coaching",225
"Real Estate",216
"Stock Market",214
"Bond Interest",186
"Mutual Funds",206
"Retirement Income",211
"Social Security",195
"Pension",214
"Annuity",217
"Alimony",236
"Child Support",201
"Grant",212
"Scholarship",197
"Stipend",242
"YouTube Revenue",208
"Blog Income",200
"Affiliate Marketing",206
"App Sales",204
